States/UTs,Crime_Head,Count,Year,Main_Category,Month,Time_of_Day,District,Latitude,Longitude,Victim_Age,Victim_Age_Group,Victim_Caste_Category,Marital_Status,Perpetrator_Relationship,Victim_Occupation,Victim_Education_Level
Mizoram,CRUELTY BY HUSBAND OR RELATIVES,1,2006,Domestic & Cruelty,May,Morning,Pune,25.67956193,68.9289972,63,51+,ST,Widowed,Stranger,Housewife,Primary
Nagaland,CRUELTY BY HUSBAND OR RELATIVES,3,2006,Domestic & Cruelty,December,Night,Mumbai,20.32722983,78.79504382,20,18-30,SC,Widowed,Husband,Student,Primary
Odisha,CRUELTY BY HUSBAND OR RELATIVES,694,2006,Domestic & Cruelty,June,Evening,Howrah,9.092193539,85.96297167,20,18-30,SC,Widowed,Husband,Student,Secondary
Punjab,CRUELTY BY HUSBAND OR RELATIVES,801,2006,Domestic & Cruelty,April,Afternoon,Udaipur,23.67068382,79.24524934,19,18-30,SC,Unmarried,Acquaintance,Student,Secondary
Rajasthan,CRUELTY BY HUSBAND OR RELATIVES,7038,2006,Domestic & Cruelty,June,Night,Udaipur,34.97072078,75.73159213,20,18-30,SC,Married,Unknown,Working Professional,Secondary
Sikkim,CRUELTY BY HUSBAND OR RELATIVES,6,2006,Domestic & Cruelty,March,Morning,Pune,34.19911289,79.26019071,19,18-30,General,Unmarried,Husband,Student,Secondary
Tamil Nadu,CRUELTY BY HUSBAND OR RELATIVES,1248,2006,Domestic & Cruelty,February,Night,Amritsar,13.6839128,74.31272012,20,18-30,SC,Married,Husband,Student,Secondary
Tripura,CRUELTY BY HUSBAND OR RELATIVES,471,2006,Domestic & Cruelty,September,Night,Mysuru,23.98353123,78.16005868,49,31-50,OBC,Married,Neighbor,Housewife,Primary
Uttar Pradesh,CRUELTY BY HUSBAND OR RELATIVES,5204,2006,Domestic & Cruelty,November,Afternoon,Jodhpur,18.64558623,69.15426542,53,51+,SC,Married,Relative,Unknown,Illiterate
Uttarakhand,CRUELTY BY HUSBAND OR RELATIVES,358,2006,Domestic & Cruelty,February,Night,Jaipur,21.80261467,75.48750861,34,31-50,SC,Married,Husband,Labourer,Primary
West Bengal,CRUELTY BY HUSBAND OR RELATIVES,7414,2006,Domestic & Cruelty,September,Afternoon,Howrah,36.39030025,94.31815266,62,51+,SC,Widowed,Neighbor,Working Professional,Secondary
A&N Islands,CRUELTY BY HUSBAND OR RELATIVES,7,2006,Domestic & Cruelty,September,Evening,Dehradun,31.82699917,69.73935425,39,31-50,General,Married,Acquaintance,Housewife,Graduate
Chandigarh,CRUELTY BY HUSBAND OR RELATIVES,102,2006,Domestic & Cruelty,April,Night,Siliguri,13.86147801,77.29839404,20,18-30,ST,Married,Relative,Student,Unknown
D&N Haveli,CRUELTY BY HUSBAND OR RELATIVES,5,2006,Domestic & Cruelty,June,Morning,Visakhapatnam,9.726696629,70.75359061,21,18-30,General,Married,Relative,Student,Graduate
Daman & Diu,CRUELTY BY HUSBAND OR RELATIVES,2,2006,Domestic & Cruelty,June,Morning,Udaipur,26.63494307,79.28202485,48,31-50,OBC,Divorced,Stranger,Housewife,Primary
Delhi UT,CRUELTY BY HUSBAND OR RELATIVES,1728,2006,Domestic & Cruelty,December,Night,Siliguri,23.35503331,96.78824808,24,18-30,SC,Unmarried,Stranger,Unknown,Secondary
Lakshadweep,CRUELTY BY HUSBAND OR RELATIVES,1,2006,Domestic & Cruelty,November,Evening,Jalandhar,10.03167178,90.21643922,33,31-50,ST,Divorced,Acquaintance,Housewife,Unknown
Puducherry,CRUELTY BY HUSBAND OR RELATIVES,19,2006,Domestic & Cruelty,March,Morning,Bengaluru,32.38086683,70.89850153,33,31-50,General,Widowed,Acquaintance,Working Professional,Secondary
All India,CRUELTY BY HUSBAND OR RELATIVES,63128,2006,Domestic & Cruelty,April,Evening,Hyderabad,32.20735651,79.76795853,28,18-30,OBC,Unmarried,Relative,Labourer,Primary
Andhra Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,657,2006,Other Acts,February,Night,Vijayawada,14.44484695,76.19760464,64,51+,General,Widowed,Husband,Unknown,Secondary
Arunachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,0,2006,Other Acts,March,Evening,Mumbai,10.4349115,82.69740151,55,51+,OBC,Married,Relative,Labourer,Secondary
Assam,IMMORAL TRAFFIC(PREVENTION)ACT,29,2006,Other Acts,May,Afternoon,Hyderabad,13.84731856,72.75465437,18,18-30,General,Married,Husband,Unknown,Illiterate
Bihar,IMMORAL TRAFFIC(PREVENTION)ACT,13,2006,Other Acts,April,Morning,Raipur,8.354442856,81.65031166,20,18-30,OBC,Married,Husband,Student,Unknown
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,13,2006,Other Acts,March,Evening,Cuttack,23.10847508,73.05066545,20,18-30,SC,Married,Husband,Student,Secondary
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,26,2006,Other Acts,October,Morning,Cuttack,33.62445758,86.71965552,38,31-50,General,Married,Stranger,Unemployed,Unknown
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,78,2006,Other Acts,March,Evening,Howrah,29.21233084,91.09822885,23,18-30,ST,Unmarried,Relative,Labourer,Secondary
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,85,2006,Other Acts,November,Morning,Chennai,21.61123827,95.57834761,18,18-30,OBC,Married,Relative,Working Professional,Secondary
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,0,2006,Other Acts,February,Morning,Howrah,29.68482802,72.11191508,35,31-50,ST,Married,Husband,Labourer,Secondary
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,5,2006,Other Acts,March,Night,Dhanbad,30.67996045,89.68468565,64,51+,General,Widowed,Husband,Labourer,Graduate
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,11,2006,Other Acts,November,Evening,Shimla,19.6422382,86.55051365,54,51+,OBC,Married,Husband,Unknown,Primary
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,786,2006,Other Acts,August,Night,Mysuru,23.82930423,75.96302717,39,31-50,SC,Divorced,Husband,Working Professional,Graduate
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,189,2006,Other Acts,August,Morning,Chandigarh,16.49075876,76.98985895,45,31-50,OBC,Widowed,Husband,Housewife,Primary
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,12,2006,Other Acts,October,Evening,Jaipur,26.8473372,79.32410627,20,18-30,OBC,Married,Husband,Student,Postgraduate
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,378,2006,Other Acts,October,Evening,Jodhpur,10.45521121,92.23784286,55,51+,General,Widowed,Husband,Housewife,Primary
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,0,2006,Other Acts,August,Afternoon,Howrah,27.3109185,88.31896074,35,31-50,SC,Married,Unknown,Housewife,Secondary
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,1,2006,Other Acts,November,Morning,Mysuru,14.26970668,96.01236317,31,31-50,Unknown,Married,Relative,Housewife,Unknown
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,0,2006,Other Acts,October,Afternoon,Agra,34.04143943,68.00063285,20,18-30,OBC,Widowed,Husband,Student,Primary
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,9,2006,Other Acts,November,Afternoon,Cuttack,20.66567219,81.67438597,28,18-30,ST,Married,Stranger,Unknown,Secondary
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,44,2006,Other Acts,November,Evening,Warangal,18.90026538,69.60962615,20,18-30,SC,Widowed,Husband,Student,Graduate
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,67,2006,Other Acts,October,Afternoon,Shimla,9.547516801,92.6126944,35,31-50,General,Divorced,Husband,Housewife,Secondary
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,143,2006,Other Acts,June,Morning,Jodhpur,31.13710263,70.64182885,18,18-30,General,Married,Husband,Unemployed,Secondary
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,0,2006,Other Acts,November,Night,Mumbai,22.30091979,92.91722384,43,31-50,Unknown,Married,Husband,Housewife,Secondary
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,1732,2006,Other Acts,June,Afternoon,Kolkata,20.93154647,79.20825688,20,18-30,OBC,Married,Unknown,Student,Graduate
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,0,2006,Other Acts,March,Afternoon,Ludhiana,22.92418962,91.50687865,20,18-30,ST,Married,Relative,Student,Postgraduate
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,70,2006,Other Acts,August,Evening,Siliguri,14.44739867,84.15842782,62,51+,OBC,Widowed,Husband,Housewife,Secondary
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,3,2006,Other Acts,February,Evening,Siliguri,34.20394542,93.76558545,45,31-50,General,Divorced,Acquaintance,Housewife,Graduate
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,66,2006,Other Acts,August,Evening,Siliguri,17.89024501,84.95409064,20,18-30,SC,Married,Relative,Student,Unknown
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,0,2006,Other Acts,August,Night,Kota,36.69851859,74.84136809,20,18-30,OBC,Married,Relative,Student,Secondary
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,3,2006,Other Acts,November,Evening,Aligarh,18.70939869,87.28856388,59,51+,General,Widowed,Relative,Housewife,Graduate
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,0,2006,Other Acts,May,Morning,Thiruvananthapuram,17.56953705,78.3678709,15,<18,ST,Unmarried,Husband,Housewife,Graduate
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,1,2006,Other Acts,May,Morning,Chennai,14.96523958,77.08098734,15,<18,Unknown,Unmarried,Husband,Student,Graduate
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,112,2006,Other Acts,October,Evening,Nagpur,9.168122193,80.2598201,49,31-50,General,Widowed,Husband,Unemployed,Graduate
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,0,2006,Other Acts,January,Evening,Thiruvananthapuram,12.891021,68.58486328,50,31-50,SC,Married,Husband,Unknown,Primary
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,8,2006,Other Acts,June,Night,Thiruvananthapuram,8.769468504,93.72177629,20,18-30,General,Divorced,Husband,Student,Secondary
All India,IMMORAL TRAFFIC(PREVENTION)ACT,4541,2006,Other Acts,September,Night,Raipur,34.49133484,85.18037416,63,51+,ST,Widowed,Husband,Unknown,Secondary
Andhra Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1347,2006,Other Acts,February,Morning,Indore,10.60054971,70.35996469,26,18-30,OBC,Unmarried,Neighbor,Unknown,Secondary
Arunachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,May,Night,Jalandhar,12.92319528,77.90215734,30,18-30,ST,Unmarried,Neighbor,Unknown,Primary
Assam,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,August,Evening,Amritsar,19.21929307,94.09970684,33,31-50,SC,Married,Relative,Housewife,Graduate
Bihar,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,August,Night,Siliguri,29.43508935,74.4364512,20,18-30,SC,Married,Acquaintance,Student,Unknown
Chhattisgarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,January,Evening,Aligarh,27.94185525,89.7697803,56,51+,General,Widowed,Stranger,Housewife,Primary
Goa,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,January,Morning,Hyderabad,13.99746615,71.30145702,20,18-30,SC,Widowed,Acquaintance,Student,Secondary
Gujarat,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,June,Afternoon,Thiruvananthapuram,24.33628229,75.25725196,50,31-50,Unknown,Married,Neighbor,Working Professional,Primary
Haryana,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,May,Night,Madurai,9.854673548,92.01277306,50,31-50,OBC,Married,Husband,Labourer,Primary
Himachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,February,Morning,Jaipur,19.84868923,81.37477037,20,18-30,General,Married,Husband,Student,Primary
Jammu & Kashmir,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,November,Morning,Amritsar,20.17158065,92.47958835,25,18-30,SC,Married,Relative,Working Professional,Secondary
Jharkhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2,2006,Other Acts,February,Night,Ranchi,34.89325287,85.61010253,15,<18,General,Unmarried,Neighbor,Housewife,Secondary
Karnataka,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,October,Afternoon,Indore,25.95587789,80.78951544,50,31-50,General,Married,Stranger,Working Professional,Primary
Kerala,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,59,2006,Other Acts,October,Evening,Vijayawada,14.71362992,87.28186047,20,18-30,General,Unmarried,Husband,Student,Secondary
Madhya Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2,2006,Other Acts,September,Morning,Aligarh,34.64812701,90.96981559,32,31-50,SC,Married,Husband,Housewife,Primary
Maharashtra,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,9,2006,Other Acts,July,Morning,Jalandhar,20.95786205,70.16051715,20,18-30,General,Divorced,Stranger,Student,Graduate
Manipur,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,August,Afternoon,Kolkata,21.08187484,89.84590342,34,31-50,Unknown,Widowed,Husband,Housewife,Primary
Meghalaya,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,October,Evening,Dehradun,32.49654008,75.64088014,20,18-30,OBC,Widowed,Unknown,Student,Secondary
Mizoram,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,September,Morning,Raipur,32.95120077,88.61892398,20,18-30,OBC,Married,Neighbor,Student,Primary
Nagaland,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,December,Afternoon,Kota,27.40139138,86.0868019,20,18-30,OBC,Married,Husband,Student,Secondary
Odisha,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,January,Night,Jaipur,22.08917014,75.24001715,43,31-50,General,Widowed,Relative,Unemployed,Primary
Punjab,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,2006,Other Acts,August,Afternoon,Shimla,20.807855,93.04778278,61,51+,ST,Widowed,Husband,Unemployed,Secondary
Rajasthan,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,102,2006,Other Acts,October,Afternoon,Vijayawada,10.0748991,90.65597849,30,18-30,OBC,Married,Husband,Housewife,Secondary
Sikkim,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,November,Morning,Madurai,23.7908284,96.19359055,51,51+,SC,Married,Husband,Unknown,Illiterate
Tamil Nadu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,35,2006,Other Acts,April,Evening,Jodhpur,32.54226529,87.26269036,20,18-30,ST,Widowed,Relative,Student,Secondary
Tripura,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,June,Night,Ranchi,18.91139494,69.19013191,36,31-50,OBC,Married,Husband,Working Professional,Primary
Uttar Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,October,Afternoon,Kota,31.67161931,85.28894782,20,18-30,SC,Married,Husband,Student,Unknown
Uttarakhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,August,Night,Hyderabad,21.23844679,84.99168849,20,18-30,General,Divorced,Relative,Student,Graduate
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,4,2006,Other Acts,September,Evening,Nagpur,23.48084131,96.54291911,17,<18,SC,Unmarried,Acquaintance,Student,Secondary
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,March,Night,Mysuru,16.35413191,80.06150714,55,51+,SC,Married,Stranger,Unemployed,Primary
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,January,Night,Bhopal,8.218113736,77.21027756,18,18-30,SC,Married,Husband,Working Professional,Postgraduate
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,August,Morning,Aligarh,23.23562194,87.26780593,21,18-30,SC,Married,Husband,Labourer,Secondary
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,February,Evening,Udaipur,9.277528631,74.87387469,21,18-30,General,Married,Acquaintance,Working Professional,Secondary
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,2006,Other Acts,June,Afternoon,Amritsar,23.30233326,87.36544683,38,31-50,OBC,Widowed,Relative,Labourer,Secondary
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,December,Morning,Shimla,23.03265114,81.91090955,39,31-50,OBC,Married,Neighbor,Housewife,Unknown
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2006,Other Acts,February,Morning,Shimla,18.48327147,92.37972508,28,18-30,OBC,Unmarried,Stranger,Unknown,Secondary
All India,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1562,2006,Other Acts,September,Afternoon,Madurai,33.51191617,86.78439384,54,51+,SC,Married,Acquaintance,Working Professional,Secondary
Andhra Pradesh,TOTAL CRIMES AGAINST WOMEN,21484,2006,Other Acts,November,Evening,Jalandhar,10.35822365,68.49142733,21,18-30,Unknown,Married,Acquaintance,Student,Secondary
Arunachal Pradesh,TOTAL CRIMES AGAINST WOMEN,168,2006,Other Acts,March,Night,Chandigarh,21.52942564,77.55018578,38,31-50,OBC,Married,Neighbor,Working Professional,Unknown
Assam,TOTAL CRIMES AGAINST WOMEN,6801,2006,Other Acts,January,Evening,Madurai,11.52842387,96.30994544,55,51+,General,Married,Stranger,Housewife,Primary
Bihar,TOTAL CRIMES AGAINST WOMEN,6740,2006,Other Acts,April,Evening,Jodhpur,9.954321228,86.62539083,28,18-30,General,Married,Acquaintance,Housewife,Secondary
Chhattisgarh,TOTAL CRIMES AGAINST WOMEN,3757,2006,Other Acts,December,Night,Shimla,13.72680304,94.10656018,56,51+,General,Married,Unknown,Working Professional,Graduate
Goa,TOTAL CRIMES AGAINST WOMEN,96,2006,Other Acts,August,Night,Raipur,29.25450821,81.43920386,20,18-30,Unknown,Married,Relative,Housewife,Postgraduate
Gujarat,TOTAL CRIMES AGAINST WOMEN,7279,2006,Other Acts,August,Night,Pune,26.95322837,81.02456164,51,51+,OBC,Married,Husband,Unemployed,Primary
Haryana,TOTAL CRIMES AGAINST WOMEN,4617,2006,Other Acts,September,Evening,Jalandhar,18.78785902,84.2645566,32,31-50,OBC,Married,Relative,Working Professional,Primary
Himachal Pradesh,TOTAL CRIMES AGAINST WOMEN,792,2006,Other Acts,September,Afternoon,Warangal,12.93138146,73.51731268,25,18-30,OBC,Married,Husband,Housewife,Postgraduate
Jammu & Kashmir,TOTAL CRIMES AGAINST WOMEN,2432,2006,Other Acts,October,Evening,Jaipur,27.31461768,88.36169462,45,31-50,OBC,Married,Husband,Housewife,Secondary
Jharkhand,TOTAL CRIMES AGAINST WOMEN,2979,2006,Other Acts,March,Afternoon,Madurai,19.13899306,72.30083842,31,31-50,SC,Married,Husband,Housewife,Secondary
Karnataka,TOTAL CRIMES AGAINST WOMEN,6084,2006,Other Acts,June,Evening,Shimla,22.88378565,92.06857938,15,<18,SC,Unmarried,Husband,Housewife,Secondary
Kerala,TOTAL CRIMES AGAINST WOMEN,7554,2006,Other Acts,June,Afternoon,Bhopal,34.11937044,90.35790121,18,18-30,SC,Married,Relative,Labourer,Secondary
Madhya Pradesh,TOTAL CRIMES AGAINST WOMEN,14321,2006,Other Acts,May,Night,Agra,19.78498945,75.61930657,41,31-50,General,Married,Husband,Working Professional,Secondary
Maharashtra,TOTAL CRIMES AGAINST WOMEN,14452,2006,Other Acts,July,Evening,Lucknow,15.78824161,93.52126426,53,51+,OBC,Widowed,Husband,Working Professional,Secondary
Manipur,TOTAL CRIMES AGAINST WOMEN,171,2006,Other Acts,July,Evening,Siliguri,34.8521525,90.02098344,21,18-30,SC,Married,Husband,Housewife,Secondary
Meghalaya,TOTAL CRIMES AGAINST WOMEN,176,2006,Other Acts,June,Morning,Bhubaneswar,29.62587977,79.52348389,18,18-30,OBC,Married,Neighbor,Housewife,Unknown
Mizoram,TOTAL CRIMES AGAINST WOMEN,125,2006,Other Acts,November,Afternoon,Ranchi,10.97107675,89.40493267,20,18-30,ST,Married,Acquaintance,Student,Primary
Nagaland,TOTAL CRIMES AGAINST WOMEN,43,2006,Other Acts,October,Evening,Kolkata,26.4246907,92.78352285,20,18-30,SC,Married,Husband,Student,Secondary
Odisha,TOTAL CRIMES AGAINST WOMEN,6825,2006,Other Acts,January,Evening,Bhopal,21.24028848,69.04910989,34,31-50,SC,Married,Stranger,Unknown,Illiterate
Punjab,TOTAL CRIMES AGAINST WOMEN,2242,2006,Other Acts,November,Night,Siliguri,31.40885267,68.02412473,51,51+,General,Widowed,Relative,Housewife,Secondary
Rajasthan,TOTAL CRIMES AGAINST WOMEN,12934,2006,Other Acts,November,Afternoon,Coimbatore,32.47082384,89.47560909,31,31-50,OBC,Married,Stranger,Labourer,Secondary
Sikkim,TOTAL CRIMES AGAINST WOMEN,47,2006,Other Acts,June,Afternoon,Cuttack,22.9642604,77.25918766,20,18-30,Unknown,Widowed,Relative,Student,Unknown
Tamil Nadu,TOTAL CRIMES AGAINST WOMEN,6489,2006,Other Acts,February,Evening,Pune,32.44421374,83.12745851,40,31-50,OBC,Married,Relative,Housewife,Primary
Tripura,TOTAL CRIMES AGAINST WOMEN,964,2006,Other Acts,June,Afternoon,Jalandhar,19.56645672,95.20048762,20,18-30,General,Married,Relative,Student,Secondary
Uttar Pradesh,TOTAL CRIMES AGAINST WOMEN,16375,2006,Other Acts,February,Afternoon,Cuttack,18.73671732,80.05255193,31,31-50,OBC,Married,Husband,Housewife,Postgraduate
Uttarakhand,TOTAL CRIMES AGAINST WOMEN,1038,2006,Other Acts,September,Afternoon,Aligarh,32.91358258,86.15354592,17,<18,SC,Unmarried,Relative,Housewife,Primary
West Bengal,TOTAL CRIMES AGAINST WOMEN,12785,2006,Other Acts,November,Afternoon,Chandigarh,12.22251509,71.35078164,16,<18,SC,Unmarried,Stranger,Student,Graduate
A&N Islands,TOTAL CRIMES AGAINST WOMEN,36,2006,Other Acts,July,Afternoon,Ranchi,16.33982262,73.62863968,34,31-50,ST,Widowed,Relative,Housewife,Graduate
Chandigarh,TOTAL CRIMES AGAINST WOMEN,224,2006,Other Acts,May,Morning,Patna,19.07466918,87.10064005,20,18-30,SC,Married,Husband,Student,Secondary
D&N Haveli,TOTAL CRIMES AGAINST WOMEN,32,2006,Other Acts,May,Morning,Mysuru,29.68384347,72.85101712,26,18-30,General,Unmarried,Acquaintance,Housewife,Primary
Daman & Diu,TOTAL CRIMES AGAINST WOMEN,9,2006,Other Acts,December,Evening,Howrah,31.63490772,96.86308288,36,31-50,OBC,Divorced,Relative,Unknown,Secondary
Delhi UT,TOTAL CRIMES AGAINST WOMEN,4544,2006,Other Acts,November,Afternoon,Lucknow,17.96813316,78.96512757,20,18-30,General,Married,Husband,Student,Postgraduate
Lakshadweep,TOTAL CRIMES AGAINST WOMEN,1,2006,Other Acts,October,Night,Vijayawada,12.27680389,76.31476835,49,31-50,SC,Widowed,Relative,Housewife,Secondary
Puducherry,TOTAL CRIMES AGAINST WOMEN,149,2006,Other Acts,March,Evening,Howrah,12.46561561,86.15463632,27,18-30,ST,Married,Acquaintance,Housewife,Primary
TOTAL Crime against Women,TOTAL CRIMES AGAINST WOMEN,164765,2006,Other Acts,June,Evening,Raipur,13.26072431,90.57509153,19,18-30,SC,Unmarried,Unknown,Housewife,Graduate
Andhra Pradesh,RAPE,1070,2007,Rape-related,February,Afternoon,Chandigarh,18.98719979,68.33675503,61,51+,General,Widowed,Acquaintance,Working Professional,Primary
Arunachal Pradesh,RAPE,48,2007,Rape-related,October,Afternoon,Guwahati,27.29235574,86.25439891,20,18-30,Unknown,Married,Acquaintance,Student,Graduate
Assam,RAPE,1437,2007,Rape-related,November,Morning,Pune,22.91177868,85.38379884,51,51+,OBC,Widowed,Stranger,Unknown,Primary
Bihar,RAPE,1555,2007,Rape-related,March,Evening,Mumbai,20.34385041,84.65230542,58,51+,OBC,Widowed,Neighbor,Working Professional,Secondary
Chhattisgarh,RAPE,982,2007,Rape-related,June,Evening,Nashik,22.68183949,90.48542732,29,18-30,OBC,Unmarried,Relative,Labourer,Graduate
Goa,RAPE,20,2007,Rape-related,May,Afternoon,Coimbatore,23.6539231,83.00766418,59,51+,General,Widowed,Acquaintance,Unknown,Primary
Gujarat,RAPE,316,2007,Rape-related,November,Evening,Ludhiana,9.114204279,72.15491593,46,31-50,SC,Married,Husband,Labourer,Graduate
Haryana,RAPE,488,2007,Rape-related,December,Night,Pune,29.55861537,88.89078373,38,31-50,General,Divorced,Unknown,Housewife,Primary
Himachal Pradesh,RAPE,159,2007,Rape-related,November,Afternoon,Jaipur,28.36695413,69.36619959,27,18-30,Unknown,Unmarried,Husband,Labourer,Graduate
Jammu & Kashmir,RAPE,288,2007,Rape-related,July,Evening,Vijayawada,25.26760675,93.75598663,30,18-30,General,Married,Neighbor,Housewife,Graduate
Jharkhand,RAPE,855,2007,Rape-related,March,Morning,Siliguri,17.70314583,92.87297245,39,31-50,Unknown,Married,Neighbor,Working Professional,Primary
Karnataka,RAPE,436,2007,Rape-related,October,Morning,Warangal,18.48731451,90.10334967,22,18-30,OBC,Unmarried,Acquaintance,Student,Secondary
Kerala,RAPE,512,2007,Rape-related,December,Night,Nashik,23.69737365,81.41138894,57,51+,Unknown,Married,Husband,Working Professional,Secondary
Madhya Pradesh,RAPE,3010,2007,Rape-related,February,Night,Madurai,15.201339,84.75152792,61,51+,OBC,Married,Stranger,Unemployed,Secondary
Maharashtra,RAPE,1451,2007,Rape-related,May,Afternoon,Ranchi,34.67396722,86.47890308,42,31-50,OBC,Married,Acquaintance,Unemployed,Secondary
Manipur,RAPE,20,2007,Rape-related,September,Night,Udaipur,16.4637604,87.94456182,19,18-30,SC,Unmarried,Acquaintance,Housewife,Secondary
Meghalaya,RAPE,82,2007,Rape-related,July,Evening,Coimbatore,34.46901248,79.78792194,17,<18,General,Unmarried,Relative,Housewife,Secondary
Mizoram,RAPE,83,2007,Rape-related,November,Afternoon,Mumbai,31.78607335,79.87670204,53,51+,OBC,Widowed,Husband,Housewife,Graduate
Nagaland,RAPE,13,2007,Rape-related,June,Morning,Warangal,36.50326292,80.58931538,22,18-30,General,Unmarried,Husband,Working Professional,Secondary
Odisha,RAPE,939,2007,Rape-related,March,Evening,Bhopal,33.56896028,80.67414879,50,31-50,General,Married,Acquaintance,Housewife,Secondary
Punjab,RAPE,519,2007,Rape-related,November,Evening,Shimla,15.3163359,68.32150136,28,18-30,OBC,Married,Acquaintance,Unknown,Secondary
Rajasthan,RAPE,1238,2007,Rape-related,December,Night,Dhanbad,15.68324106,84.31330862,62,51+,SC,Widowed,Relative,Unknown,Primary
